Episode 150/500, Total Reward: 58, Epsilon: 0.471
Episode 151/500, Total Reward: 80, Epsilon: 0.469
Episode 152/500, Total Reward: 83, Epsilon: 0.467
Episode 153/500, Total Reward: 75, Epsilon: 0.464
Episode 154/500, Total Reward: 81, Epsilon: 0.462
Episode 155/500, Total Reward: 55, Epsilon: 0.460
Episode 156/500, Total Reward: 77, Epsilon: 0.458
Episode 157/500, Total Reward: 82, Epsilon: 0.455
Episode 158/500, Total Reward: 78, Epsilon: 0.453
Episode 159/500, Total Reward: 72, Epsilon: 0.451
Episode 160/500, Total Reward: 80, Epsilon: 0.448
Episode 161/500, Total Reward: 86, Epsilon: 0.446
Episode 162/500, Total Reward: 80, Epsilon: 0.444
Episode 163/500, Total Reward: 67, Epsilon: 0.442
Episode 164/500, Total Reward: 73, Epsilon: 0.440
Episode 165/500, Total Reward: 82, Epsilon: 0.437
Episode 166/500, Total Reward: 81, Epsilon: 0.435
Episode 167/500, Total Reward: 77, Epsilon: 0.433
Episode 168/500, Total Reward: 81, Epsilon: 0.431
Episode 169/500, Total Reward: 68, Epsilon: 0.429
Episode 170/500, Total Reward: 74, Epsilon: 0.427
Episode 171/500, Total Reward: 79, Epsilon: 0.424
Episode 172/500, Total Reward: 86, Epsilon: 0.422
Episode 173/500, Total Reward: 86, Epsilon: 0.420
Episode 174/500, Total Reward: 67, Epsilon: 0.418
Episode 175/500, Total Reward: 86, Epsilon: 0.416
Episode 176/500, Total Reward: 77, Epsilon: 0.414
Episode 177/500, Total Reward: 71, Epsilon: 0.412
Episode 178/500, Total Reward: 78, Epsilon: 0.410
Episode 179/500, Total Reward: 84, Epsilon: 0.408
Episode 180/500, Total Reward: 82, Epsilon: 0.406
Episode 181/500, Total Reward: 78, Epsilon: 0.404
Episode 182/500, Total Reward: 67, Epsilon: 0.402
Episode 183/500, Total Reward: 77, Epsilon: 0.400
Episode 184/500, Total Reward: 84, Epsilon: 0.398
Episode 185/500, Total Reward: 81, Epsilon: 0.396
Episode 186/500, Total Reward: 65, Epsilon: 0.394
Episode 187/500, Total Reward: 75, Epsilon: 0.392
Episode 188/500, Total Reward: 85, Epsilon: 0.390
Episode 189/500, Total Reward: 82, Epsilon: 0.388
Episode 190/500, Total Reward: 86, Epsilon: 0.386
Episode 191/500, Total Reward: 78, Epsilon: 0.384
Episode 192/500, Total Reward: 86, Epsilon: 0.382
Episode 193/500, Total Reward: 78, Epsilon: 0.380
Episode 194/500, Total Reward: 82, Epsilon: 0.378
Episode 195/500, Total Reward: 82, Epsilon: 0.376
Episode 196/500, Total Reward: 57, Epsilon: 0.374
Episode 197/500, Total Reward: 71, Epsilon: 0.373
Episode 198/500, Total Reward: 81, Epsilon: 0.371
Episode 199/500, Total Reward: 88, Epsilon: 0.369
Episode 200/500, Total Reward: 82, Epsilon: 0.367
Episode 201/500, Total Reward: 88, Epsilon: 0.365
Episode 202/500, Total Reward: 80, Epsilon: 0.363
Episode 203/500, Total Reward: 85, Epsilon: 0.361
Episode 204/500, Total Reward: 81, Epsilon: 0.360
Episode 205/500, Total Reward: 83, Epsilon: 0.358
Episode 206/500, Total Reward: 80, Epsilon: 0.356
Episode 207/500, Total Reward: 82, Epsilon: 0.354
Episode 208/500, Total Reward: 84, Epsilon: 0.353
